Gene,BA11.R2,BA11.Peak,BA11.Pval,BA11.qval,BA47.R2,BA47.Peak,BA47.Pval,BA47.qval,Diff.Peak,Avg.R2,Combined.Pval,Combined.qval,BA11.weight,BA47.weight,Both.weight,Age.genes,Sex.genes
C1orf51,0.51,2.45,2.47E-08,5.56E-05,0.50,2.63,2.47E-08,7.14E-05,0.18,0.51,4.90E-09,5.88E-06,1,1,2,0,0
NR1D1,0.53,1.38,2.47E-08,5.56E-05,0.41,1.79,2.47E-08,7.14E-05,0.41,0.47,4.90E-09,5.88E-06,1,1,2,0,0
PER3,0.41,4.72,2.47E-08,5.56E-05,0.36,5.01,2.47E-08,7.14E-05,0.29,0.38,4.90E-09,5.88E-06,1,1,2,0,0
PER2,0.29,8.06,2.47E-08,5.56E-05,0.24,8.14,2.47E-08,7.14E-05,0.08,0.27,4.90E-09,5.88E-06,1,1,2,0,0
KCNH4,0.24,2.21,2.47E-08,5.56E-05,0.27,2.11,2.47E-08,7.14E-05,0.09,0.25,4.90E-09,5.88E-06,1,1,2,0,0
NR1D2,0.24,3.11,2.47E-08,5.56E-05,0.21,2.64,2.47E-08,7.14E-05,0.46,0.23,4.90E-09,5.88E-06,1,1,2,0,0
PER1,0.29,3.07,2.47E-08,5.56E-05,0.21,4.91,9.88E-08,2.50E-04,1.84,0.25,4.90E-09,5.88E-06,1,1,2,0,0
ARNTL,0.16,-6.00,3.76E-06,4.05E-03,0.23,-6.28,2.47E-08,7.14E-05,0.28,0.20,4.90E-09,5.88E-06,1,1,2,1,0
OPRL1,0.18,3.17,5.44E-07,9.17E-04,0.18,3.73,3.46E-07,7.00E-04,0.56,0.18,4.90E-09,5.88E-06,1,1,2,0,0
BHLHE41,0.18,3.01,5.44E-07,9.17E-04,0.18,3.29,4.45E-07,8.18E-04,0.27,0.18,4.90E-09,5.88E-06,1,1,2,1,0
DBP,0.17,5.04,1.63E-06,2.36E-03,0.18,5.06,2.96E-07,6.67E-04,0.02,0.18,4.90E-09,5.88E-06,1,1,2,0,0
DUSP11,0.21,0.81,4.94E-08,1.00E-04,0.14,-0.40,1.61E-05,1.81E-02,1.20,0.18,4.90E-09,5.88E-06,1,1,2,0,0
PIAS1,0.24,1.13,2.47E-08,5.56E-05,0.12,1.31,1.32E-04,6.52E-02,0.18,0.18,4.90E-09,5.88E-06,1,1,2,0,0
PDZRN3,0.22,1.81,2.47E-08,5.56E-05,0.08,1.27,2.54E-03,2.43E-01,0.54,0.15,4.90E-09,5.88E-06,1,1,2,0,0
ADRA1B,0.12,12.69,1.01E-04,3.83E-02,0.17,13.19,9.88E-07,1.67E-03,0.50,0.15,4.90E-09,5.88E-06,1,1,2,1,0
RNF115,0.18,2.56,1.04E-06,1.62E-03,0.11,1.49,1.87E-04,6.74E-02,1.08,0.15,4.90E-09,5.88E-06,1,1,2,0,0
ENG,0.14,-3.81,2.80E-05,1.83E-02,0.15,-4.94,8.75E-06,1.04E-02,1.13,0.14,4.90E-09,5.88E-06,1,1,2,0,0
SPRY4,0.14,11.25,1.51E-05,1.27E-02,0.14,11.69,1.80E-05,1.83E-02,0.44,0.14,9.90E-09,1.05E-05,1,1,2,1,0
NPAS2,0.10,-5.72,3.76E-04,8.02E-02,0.17,16.42,1.38E-06,2.15E-03,1.86,0.14,9.90E-09,1.05E-05,1,1,2,1,0
BHLHE40,0.16,5.75,6.23E-06,6.30E-03,0.12,5.73,1.45E-04,6.67E-02,0.02,0.14,2.47E-08,2.50E-05,1,1,2,0,0
NFIL3,0.12,-6.10,1.53E-04,5.14E-02,0.15,17.21,8.45E-06,1.04E-02,0.69,0.13,2.96E-08,2.86E-05,1,1,2,0,0
LRRC39,0.17,2.47,1.88E-06,2.53E-03,0.09,2.27,1.39E-03,1.95E-01,0.20,0.13,6.92E-08,6.36E-05,1,1,2,1,0
LDB1,0.16,5.69,3.80E-06,4.05E-03,0.10,7.61,7.57E-04,1.44E-01,1.92,0.13,7.41E-08,6.52E-05,1,1,2,0,0
DUSP4,0.11,8.38,2.31E-04,6.38E-02,0.14,8.76,2.21E-05,2.13E-02,0.38,0.13,1.09E-07,9.17E-05,1,1,2,0,0
USP2,0.15,0.63,1.18E-05,1.03E-02,0.10,-0.05,5.48E-04,1.29E-01,0.68,0.12,1.29E-07,1.04E-04,1,1,2,0,0
XRN1,0.13,0.62,5.71E-05,3.01E-02,0.12,0.28,1.20E-04,6.38E-02,0.33,0.12,1.38E-07,1.08E-04,1,1,2,1,0
KIAA1370,0.14,2.49,3.00E-05,1.90E-02,0.11,1.67,2.80E-04,8.50E-02,0.82,0.12,1.78E-07,1.33E-04,1,1,2,0,0
RARA,0.16,12.30,3.41E-06,4.05E-03,0.07,12.63,4.24E-03,2.88E-01,0.34,0.12,2.77E-07,2.00E-04,1,1,2,0,0
RSPO2,0.15,4.31,7.66E-06,7.32E-03,0.08,4.37,1.98E-03,2.37E-01,0.06,0.12,2.92E-07,2.03E-04,1,1,2,1,0
IRS2,0.10,12.54,5.00E-04,9.05E-02,0.13,12.23,4.97E-05,3.73E-02,0.31,0.11,5.09E-07,3.32E-04,1,1,2,0,0
RC3H1,0.11,3.06,1.91E-04,5.78E-02,0.12,-1.88,1.36E-04,6.54E-02,4.94,0.11,5.09E-07,3.32E-04,1,1,2,0,0
ZNF43,0.13,0.50,5.94E-05,3.01E-02,0.10,-0.56,6.34E-04,1.40E-01,1.06,0.11,6.92E-07,4.38E-04,1,1,2,0,0
ANKRD12,0.14,4.09,2.38E-05,1.83E-02,0.08,2.86,1.82E-03,2.27E-01,1.23,0.11,7.66E-07,4.70E-04,1,1,2,0,0
SESN3,0.08,13.14,1.80E-03,1.47E-01,0.14,15.74,2.67E-05,2.46E-02,2.59,0.11,8.40E-07,5.00E-04,1,1,2,0,0
AKAP1,0.12,3.37,7.50E-05,3.23E-02,0.09,2.67,9.33E-04,1.59E-01,0.70,0.11,1.19E-06,6.89E-04,1,1,2,1,0
TRIM24,0.17,0.19,2.32E-06,2.94E-03,0.05,-1.09,3.30E-02,5.75E-01,1.27,0.11,1.29E-06,7.25E-04,1,1,2,0,0
SLCO2A1,0.08,-5.65,1.70E-03,1.46E-01,0.13,17.36,4.91E-05,3.73E-02,0.99,0.11,1.40E-06,7.38E-04,1,1,2,1,0
SBK1,0.13,12.73,5.87E-05,3.01E-02,0.09,13.12,1.39E-03,1.95E-01,0.38,0.11,1.37E-06,7.38E-04,1,1,2,1,0
TRAF5,0.15,1.39,7.96E-06,7.32E-03,0.06,1.17,1.07E-02,3.98E-01,0.22,0.11,1.42E-06,7.38E-04,1,1,2,1,0
ALOX5AP,0.10,-3.67,5.73E-04,9.66E-02,0.11,-4.98,1.64E-04,6.74E-02,1.31,0.11,1.62E-06,8.18E-04,1,1,2,0,0
PDE7B,0.13,16.62,3.26E-05,2.00E-02,0.08,15.78,3.14E-03,2.61E-01,0.84,0.11,1.73E-06,8.54E-04,1,1,2,1,0
TMEM119,0.10,-6.01,3.45E-04,7.66E-02,0.10,-1.98,3.70E-04,9.85E-02,4.03,0.10,2.07E-06,9.81E-04,1,1,2,1,0
BACE2,0.11,-1.51,3.30E-04,7.60E-02,0.10,-2.10,4.45E-04,1.10E-01,0.59,0.10,2.39E-06,1.10E-03,1,1,2,0,0
RPS6KA5,0.11,3.39,2.28E-04,6.38E-02,0.10,2.11,6.71E-04,1.41E-01,1.28,0.10,2.50E-06,1.12E-03,1,1,2,1,0
ZBBX,0.11,2.29,2.64E-04,6.84E-02,0.10,2.12,6.44E-04,1.40E-01,0.17,0.10,2.78E-06,1.22E-03,1,1,2,0,0
FGD5,0.09,-5.75,1.19E-03,1.32E-01,0.11,-5.78,1.62E-04,6.74E-02,0.03,0.10,3.10E-06,1.33E-03,1,1,2,0,0
CCDC91,0.11,4.32,1.78E-04,5.52E-02,0.09,2.53,1.15E-03,1.77E-01,1.80,0.10,3.24E-06,1.35E-03,1,1,2,1,0
FHL3,0.06,16.00,1.22E-02,2.61E-01,0.14,16.07,1.71E-05,1.82E-02,0.07,0.10,3.30E-06,1.35E-03,1,1,2,1,0
PEX1,0.11,1.76,1.60E-04,5.14E-02,0.09,-0.28,1.32E-03,1.91E-01,2.03,0.10,3.35E-06,1.35E-03,1,1,2,1,0
DCUN1D4,0.09,3.84,1.32E-03,1.37E-01,0.11,2.74,1.67E-04,6.74E-02,1.10,0.10,3.51E-06,1.39E-03,1,1,2,0,0
GRIK2,0.08,3.50,1.88E-03,1.51E-01,0.12,1.11,1.23E-04,6.38E-02,2.39,0.10,3.66E-06,1.43E-03,1,1,2,0,0
LCP1,0.08,-3.17,2.98E-03,1.70E-01,0.12,-3.32,8.15E-05,5.50E-02,0.15,0.10,3.82E-06,1.46E-03,1,1,2,0,0
SLC39A14,0.09,-2.49,8.26E-04,1.17E-01,0.10,-2.81,3.77E-04,9.91E-02,0.32,0.10,4.73E-06,1.77E-03,1,1,2,0,0
IGFBP4,0.07,-4.77,7.26E-03,2.17E-01,0.13,17.22,4.59E-05,3.72E-02,2.01,0.10,5.04E-06,1.85E-03,1,1,2,0,0
THRA,0.12,2.12,7.40E-05,3.23E-02,0.07,1.67,5.65E-03,3.24E-01,0.45,0.10,6.40E-06,2.27E-03,1,1,2,1,0
CREBZF,0.06,0.32,1.22E-02,2.61E-01,0.13,0.14,3.67E-05,3.09E-02,0.17,0.10,6.81E-06,2.38E-03,1,1,2,0,0
IQCB1,0.09,3.47,1.38E-03,1.38E-01,0.11,2.53,3.44E-04,9.64E-02,0.94,0.10,7.18E-06,2.46E-03,1,1,2,0,0
ATG14,0.10,3.41,5.13E-04,9.10E-02,0.09,1.67,1.07E-03,1.73E-01,1.73,0.10,8.26E-06,2.74E-03,1,1,2,0,0
IFNGR1,0.13,0.42,4.38E-05,2.46E-02,0.06,-0.94,1.24E-02,4.15E-01,1.36,0.10,8.21E-06,2.74E-03,1,1,2,0,0
TMED10,0.07,-2.06,5.12E-03,1.96E-01,0.12,-6.15,1.11E-04,6.38E-02,4.09,0.10,8.59E-06,2.80E-03,1,1,2,0,0
NET1,0.10,1.26,5.01E-04,9.05E-02,0.09,1.11,1.29E-03,1.88E-01,0.14,0.09,9.63E-06,3.09E-03,1,1,2,0,0
ANKRD55,0.08,10.78,2.85E-03,1.69E-01,0.11,12.14,2.34E-04,7.63E-02,1.36,0.09,9.92E-06,3.14E-03,1,1,2,1,0
DOCK4,0.02,-6.32,3.11E-01,7.17E-01,0.16,16.51,2.17E-06,3.14E-03,1.17,0.09,2.09E-06,9.81E-04,0,1,1,0,0
REV1,0.12,4.33,9.60E-05,3.73E-02,0.06,0.46,8.11E-03,3.64E-01,3.87,0.09,1.13E-05,3.51E-03,1,1,2,0,0
RAI1,0.07,10.40,5.15E-03,1.97E-01,0.11,11.83,1.90E-04,6.76E-02,1.43,0.09,1.39E-05,4.25E-03,1,1,2,0,0
TRIB2,0.11,12.15,2.41E-04,6.41E-02,0.07,12.38,4.45E-03,2.92E-01,0.23,0.09,1.52E-05,4.58E-03,1,1,2,1,0
SDK1,0.08,15.07,2.37E-03,1.59E-01,0.10,13.79,4.60E-04,1.11E-01,1.28,0.09,1.54E-05,4.58E-03,1,1,2,0,0
TOX,0.10,2.82,5.17E-04,9.10E-02,0.08,2.55,2.31E-03,2.41E-01,0.27,0.09,1.70E-05,4.98E-03,1,1,2,1,0
MCF2L,0.10,7.87,4.98E-04,9.05E-02,0.08,8.25,2.49E-03,2.43E-01,0.38,0.09,1.77E-05,5.04E-03,1,1,2,0,0
MED12L,0.13,2.48,4.03E-05,2.33E-02,0.05,2.04,3.07E-02,5.66E-01,0.44,0.09,1.77E-05,5.04E-03,1,1,2,0,0
ELAVL3,0.02,10.87,2.02E-01,6.28E-01,0.15,12.86,6.03E-06,8.13E-03,1.99,0.09,5.86E-06,2.12E-03,0,1,1,1,0
MIA3,0.12,3.91,8.66E-05,3.50E-02,0.06,3.76,1.48E-02,4.39E-01,0.15,0.09,1.81E-05,5.09E-03,1,1,2,1,0
MAPK4,0.06,16.29,8.52E-03,2.32E-01,0.11,16.61,1.68E-04,6.74E-02,0.31,0.09,2.01E-05,5.58E-03,1,1,2,1,0
PUS7,0.08,1.61,1.84E-03,1.50E-01,0.09,2.38,8.23E-04,1.51E-01,0.78,0.09,2.12E-05,5.79E-03,1,1,2,0,0
SIK2,0.07,9.80,7.24E-03,2.17E-01,0.11,10.80,2.14E-04,7.21E-02,1.01,0.09,2.16E-05,5.82E-03,1,1,2,0,0
KIAA1524,0.08,1.41,1.91E-03,1.51E-01,0.09,-0.09,8.78E-04,1.55E-01,1.50,0.09,2.32E-05,6.17E-03,1,1,2,0,0
LPCAT3,0.06,-4.03,1.11E-02,2.50E-01,0.11,-4.83,1.81E-04,6.74E-02,0.80,0.09,2.75E-05,6.70E-03,1,1,2,1,0
ORC3,0.11,4.07,2.72E-04,6.96E-02,0.07,2.21,7.39E-03,3.56E-01,1.86,0.09,2.75E-05,6.70E-03,1,1,2,0,0
SYNPO,0.11,13.50,2.36E-04,6.38E-02,0.06,14.58,8.63E-03,3.71E-01,1.08,0.09,2.78E-05,6.70E-03,1,1,2,1,0
MYSM1,0.07,1.69,6.01E-03,2.07E-01,0.10,0.93,3.58E-04,9.65E-02,0.76,0.09,2.92E-05,6.96E-03,1,1,2,0,0
HPGDS,0.10,-4.94,3.99E-04,8.41E-02,0.07,-5.05,5.61E-03,3.23E-01,0.12,0.09,3.05E-05,7.18E-03,1,1,2,1,0
CMTM8,0.09,17.32,8.59E-04,1.18E-01,0.08,-4.40,2.67E-03,2.44E-01,2.29,0.09,3.13E-05,7.27E-03,1,1,2,0,0
KIAA1549,0.06,12.64,1.35E-02,2.68E-01,0.11,13.21,1.73E-04,6.74E-02,0.57,0.09,3.19E-05,7.33E-03,1,1,2,1,0
CDH5,0.07,-4.74,6.09E-03,2.08E-01,0.10,-5.57,4.07E-04,1.05E-01,0.83,0.09,3.36E-05,7.59E-03,1,1,2,0,0
SH3BP1,0.04,14.38,7.04E-02,4.50E-01,0.13,13.15,3.53E-05,3.09E-02,1.23,0.09,3.38E-05,7.59E-03,1,1,2,0,0
PHF17,0.07,6.38,4.19E-03,1.87E-01,0.10,2.28,6.37E-04,1.40E-01,4.10,0.09,3.61E-05,8.04E-03,1,1,2,1,0
VGF,0.10,12.85,5.87E-04,9.81E-02,0.07,12.44,6.30E-03,3.35E-01,0.40,0.08,4.93E-05,1.05E-02,1,1,2,0,0
SNORD80,0.12,2.14,1.27E-04,4.51E-02,0.05,1.63,2.95E-02,5.61E-01,0.52,0.08,4.98E-05,1.05E-02,1,1,2,0,0
ABCA6,0.12,5.06,8.53E-05,3.50E-02,0.04,5.69,4.35E-02,6.14E-01,0.63,0.08,4.94E-05,1.05E-02,1,1,2,1,0
KIAA0776,0.12,0.72,7.17E-05,3.23E-02,0.04,-1.05,5.39E-02,6.40E-01,1.76,0.08,5.15E-05,1.07E-02,1,1,2,0,0
INSIG1,0.08,1.06,2.44E-03,1.60E-01,0.09,0.28,1.64E-03,2.14E-01,0.78,0.08,5.31E-05,1.09E-02,1,1,2,0,0
ABHD2,0.07,-0.65,5.29E-03,1.99E-01,0.09,-4.58,7.63E-04,1.44E-01,3.93,0.08,5.36E-05,1.09E-02,1,1,2,1,0
NAB2,0.06,9.48,1.15E-02,2.53E-01,0.10,9.94,3.58E-04,9.65E-02,0.46,0.08,5.47E-05,1.09E-02,1,1,2,0,0
C19orf77,0.13,13.28,6.66E-05,3.21E-02,0.04,10.64,6.23E-02,6.69E-01,2.64,0.08,5.50E-05,1.09E-02,1,1,2,0,1
PDP2,0.11,2.20,2.08E-04,6.09E-02,0.05,1.86,2.02E-02,5.02E-01,0.35,0.08,5.57E-05,1.10E-02,1,1,2,0,0
EPN2,0.07,13.92,4.95E-03,1.96E-01,0.09,15.07,8.68E-04,1.55E-01,1.15,0.08,5.70E-05,1.11E-02,1,1,2,0,0
ZNF563,0.14,14.13,2.76E-05,1.83E-02,0.03,1.43,1.60E-01,8.06E-01,11.30,0.08,2.68E-05,6.70E-03,1,0,1,0,0
FEZF2,0.08,13.25,2.03E-03,1.51E-01,0.08,11.47,2.34E-03,2.41E-01,1.78,0.08,6.26E-05,1.20E-02,1,1,2,0,0
FBXO40,0.10,3.46,7.57E-04,1.11E-01,0.07,1.80,6.37E-03,3.35E-01,1.66,0.08,6.35E-05,1.20E-02,1,1,2,1,0
C5orf51,0.09,1.04,1.64E-03,1.41E-01,0.08,-1.43,2.96E-03,2.56E-01,2.47,0.08,6.40E-05,1.20E-02,1,1,2,1,0
C10orf131,0.14,-2.66,2.63E-05,1.83E-02,0.02,-0.99,1.91E-01,8.28E-01,1.67,0.08,2.56E-05,6.64E-03,1,0,1,0,0
GPR83,0.04,14.40,7.20E-02,4.52E-01,0.12,14.08,8.56E-05,5.59E-02,0.32,0.08,8.00E-05,1.43E-02,1,1,2,1,0
PCDH8,0.08,10.37,2.72E-03,1.68E-01,0.08,11.23,2.32E-03,2.41E-01,0.86,0.08,8.20E-05,1.45E-02,1,1,2,1,0
CCDC14,0.10,4.04,7.68E-04,1.12E-01,0.06,0.31,8.25E-03,3.64E-01,3.73,0.08,8.21E-05,1.45E-02,1,1,2,0,0
GIMAP4,0.08,-4.45,2.48E-03,1.61E-01,0.08,-4.06,2.58E-03,2.43E-01,0.39,0.08,8.30E-05,1.45E-02,1,1,2,0,0
MPP7,0.07,2.50,5.95E-03,2.06E-01,0.09,2.22,1.11E-03,1.77E-01,0.28,0.08,8.53E-05,1.47E-02,1,1,2,0,0
ARHGAP25,0.08,16.82,2.89E-03,1.69E-01,0.08,-6.29,2.36E-03,2.43E-01,0.88,0.08,8.79E-05,1.51E-02,1,1,2,0,0
C17orf76,0.08,5.18,3.49E-03,1.79E-01,0.08,8.90,2.02E-03,2.40E-01,3.72,0.08,9.08E-05,1.54E-02,1,1,2,0,0
FABP5,0.06,-1.88,8.56E-03,2.32E-01,0.09,-1.56,9.30E-04,1.59E-01,0.32,0.08,1.01E-04,1.67E-02,1,1,2,0,0
KLHDC1,0.11,3.36,2.37E-04,6.38E-02,0.05,3.95,3.42E-02,5.83E-01,0.60,0.08,1.03E-04,1.68E-02,1,1,2,1,0
TMEM41A,0.09,-1.70,1.51E-03,1.39E-01,0.07,-1.50,5.43E-03,3.19E-01,0.19,0.08,1.04E-04,1.68E-02,1,1,2,0,0
ZNF441,0.05,0.21,1.99E-02,3.06E-01,0.10,0.34,4.18E-04,1.07E-01,0.13,0.08,1.06E-04,1.68E-02,1,1,2,0,0
SCAMP2,0.05,-4.79,2.98E-02,3.46E-01,0.11,-5.66,2.86E-04,8.50E-02,0.87,0.08,1.07E-04,1.69E-02,1,1,2,0,0
TUBGCP5,0.04,3.83,4.56E-02,3.97E-01,0.11,4.30,1.87E-04,6.74E-02,0.47,0.08,1.08E-04,1.69E-02,1,1,2,0,0
PDZD2,0.03,14.07,1.56E-01,5.80E-01,0.13,14.48,5.46E-05,3.95E-02,0.41,0.08,5.40E-05,1.09E-02,0,1,1,0,0
CSF1R,0.07,-4.10,4.37E-03,1.91E-01,0.08,-4.60,2.01E-03,2.40E-01,0.50,0.08,1.11E-04,1.73E-02,1,1,2,1,0
CTNND1,0.04,-2.78,4.98E-02,4.08E-01,0.11,-3.99,1.84E-04,6.74E-02,1.21,0.08,1.15E-04,1.76E-02,1,1,2,1,0
STK35,0.10,4.43,4.31E-04,8.64E-02,0.05,2.55,2.15E-02,5.10E-01,1.88,0.08,1.16E-04,1.77E-02,1,1,2,0,0
KIAA1107,0.08,2.18,2.58E-03,1.64E-01,0.07,0.92,3.73E-03,2.83E-01,1.26,0.08,1.21E-04,1.80E-02,1,1,2,0,0
C15orf44,0.08,1.72,2.07E-03,1.53E-01,0.07,-0.36,4.65E-03,2.97E-01,2.08,0.08,1.21E-04,1.80E-02,1,1,2,0,0
MN1,0.14,14.01,2.51E-05,1.83E-02,0.01,14.96,3.84E-01,9.14E-01,0.95,0.08,2.42E-05,6.37E-03,1,0,1,1,0
P2RY13,0.07,-2.16,4.50E-03,1.92E-01,0.08,-1.84,2.18E-03,2.40E-01,0.32,0.08,1.23E-04,1.80E-02,1,1,2,1,0
SEC11A,0.06,12.25,1.42E-02,2.72E-01,0.10,14.99,7.30E-04,1.44E-01,2.73,0.08,1.30E-04,1.82E-02,1,1,2,0,0
CHRM4,0.10,3.72,4.61E-04,8.88E-02,0.05,4.23,2.24E-02,5.13E-01,0.51,0.08,1.29E-04,1.82E-02,1,1,2,1,0
LHFPL2,0.12,-5.88,1.30E-04,4.52E-02,0.03,-4.14,8.25E-02,7.09E-01,1.74,0.08,1.30E-04,1.82E-02,1,0,1,0,0
NXPH3,0.08,13.68,2.60E-03,1.64E-01,0.07,9.65,4.18E-03,2.88E-01,4.03,0.08,1.35E-04,1.89E-02,1,1,2,0,0
AFAP1L2,0.08,2.42,1.83E-03,1.50E-01,0.07,2.90,6.11E-03,3.32E-01,0.48,0.08,1.39E-04,1.93E-02,1,1,2,1,0
NRP1,0.06,-4.20,1.64E-02,2.85E-01,0.10,-5.49,7.53E-04,1.44E-01,1.29,0.08,1.52E-04,2.07E-02,1,1,2,0,0
MDGA1,0.04,13.71,6.28E-02,4.35E-01,0.11,15.35,1.99E-04,6.84E-02,1.64,0.07,1.54E-04,2.08E-02,1,1,2,1,0
SMARCA1,0.08,4.38,3.62E-03,1.80E-01,0.08,1.83,3.58E-03,2.76E-01,2.55,0.08,1.59E-04,2.08E-02,1,1,2,0,0
EXOC6B,0.08,4.67,2.17E-03,1.55E-01,0.07,3.55,5.98E-03,3.30E-01,1.12,0.08,1.60E-04,2.08E-02,1,1,2,0,0
ZFAND3,0.04,-3.65,3.73E-02,3.70E-01,0.11,15.25,3.44E-04,9.64E-02,5.10,0.07,1.58E-04,2.08E-02,1,1,2,0,0
CDH6,0.03,-0.37,1.01E-01,5.07E-01,0.12,-0.65,1.26E-04,6.38E-02,0.27,0.07,1.26E-04,1.82E-02,0,1,1,1,0
FAM81A,0.06,5.57,1.49E-02,2.77E-01,0.09,5.35,8.80E-04,1.55E-01,0.21,0.08,1.61E-04,2.09E-02,1,1,2,1,0
ZNF451,0.08,3.45,2.21E-03,1.55E-01,0.07,0.27,6.00E-03,3.30E-01,3.18,0.08,1.63E-04,2.10E-02,1,1,2,1,0
FLJ32756,0.14,-6.29,2.74E-05,1.83E-02,0.01,7.30,5.17E-01,9.46E-01,10.41,0.07,2.66E-05,6.70E-03,1,0,1,0,0
CD34,0.08,17.37,2.97E-03,1.70E-01,0.07,16.58,5.01E-03,3.07E-01,0.79,0.07,1.81E-04,2.25E-02,1,1,2,0,0
C20orf12,0.09,10.16,8.93E-04,1.19E-01,0.06,8.47,1.66E-02,4.63E-01,1.69,0.07,1.80E-04,2.25E-02,1,1,2,0,0
SLCO2B1,0.07,-3.85,6.89E-03,2.14E-01,0.08,-6.01,2.20E-03,2.40E-01,2.16,0.07,1.84E-04,2.25E-02,1,1,2,1,0
REPS2,0.07,5.54,4.93E-03,1.96E-01,0.08,6.89,3.18E-03,2.62E-01,1.35,0.07,1.89E-04,2.29E-02,1,1,2,0,0
EML4,0.06,3.44,1.48E-02,2.77E-01,0.09,-0.86,1.06E-03,1.73E-01,4.29,0.07,1.89E-04,2.29E-02,1,1,2,0,0
SHC3,0.05,10.55,2.51E-02,3.31E-01,0.10,12.16,6.38E-04,1.40E-01,1.60,0.07,1.93E-04,2.32E-02,1,1,2,0,0
SUPT3H,0.03,4.47,8.90E-02,4.86E-01,0.11,1.61,1.82E-04,6.74E-02,2.86,0.07,1.82E-04,2.25E-02,0,1,1,0,0
TTC8,0.13,3.53,6.39E-05,3.15E-02,0.02,-1.08,2.55E-01,8.63E-01,4.61,0.07,6.36E-05,1.20E-02,1,0,1,0,0
LYN,0.08,-5.94,2.21E-03,1.55E-01,0.07,-4.34,7.44E-03,3.56E-01,1.60,0.07,1.98E-04,2.35E-02,1,1,2,1,0
TARBP1,0.08,4.02,1.72E-03,1.46E-01,0.06,2.73,9.92E-03,3.89E-01,1.29,0.07,2.05E-04,2.38E-02,1,1,2,1,0
CTNNAL1,0.09,7.63,1.02E-03,1.26E-01,0.06,6.39,1.66E-02,4.63E-01,1.23,0.07,2.04E-04,2.38E-02,1,1,2,1,0
SIPA1L3,0.04,14.67,3.86E-02,3.74E-01,0.10,14.09,4.43E-04,1.10E-01,0.57,0.07,2.05E-04,2.38E-02,1,1,2,0,0
ELMO2,0.03,16.55,9.53E-02,4.97E-01,0.11,-6.39,1.81E-04,6.74E-02,1.06,0.07,1.82E-04,2.25E-02,0,1,1,0,0
PYGO2,0.07,12.36,6.92E-03,2.14E-01,0.08,13.35,2.53E-03,2.43E-01,0.99,0.07,2.10E-04,2.42E-02,1,1,2,0,0
CEP57,0.09,2.74,8.85E-04,1.19E-01,0.05,0.72,2.25E-02,5.13E-01,2.02,0.07,2.37E-04,2.68E-02,1,1,2,0,0
LAPTM5,0.07,-3.36,6.03E-03,2.08E-01,0.08,-4.30,3.37E-03,2.68E-01,0.94,0.07,2.41E-04,2.71E-02,1,1,2,1,0
SNORD47,0.07,2.22,4.96E-03,1.96E-01,0.07,1.13,4.34E-03,2.91E-01,1.09,0.07,2.54E-04,2.83E-02,1,1,2,0,0
FAM45A,0.09,2.92,1.35E-03,1.38E-01,0.06,0.48,1.62E-02,4.57E-01,2.44,0.07,2.57E-04,2.83E-02,1,1,2,0,0
PCDH12,0.10,15.01,4.82E-04,8.94E-02,0.04,17.40,4.57E-02,6.18E-01,2.39,0.07,2.60E-04,2.83E-02,1,1,2,0,0
SAMD15,0.03,14.56,8.18E-02,4.71E-01,0.11,-0.93,2.68E-04,8.34E-02,8.51,0.07,2.59E-04,2.83E-02,1,1,2,0,0
CYP1B1,0.02,-3.77,1.79E-01,6.04E-01,0.12,-4.59,1.22E-04,6.38E-02,0.82,0.07,1.22E-04,1.80E-02,0,1,1,0,0
MGC42105,0.10,1.52,6.45E-04,1.04E-01,0.05,1.51,3.48E-02,5.83E-01,0.01,0.07,2.64E-04,2.84E-02,1,1,2,0,0
SLC10A3,0.13,15.01,3.80E-05,2.26E-02,0.01,14.41,5.92E-01,9.61E-01,0.60,0.07,3.73E-05,8.20E-03,1,0,1,0,0
MPDZ,0.08,5.03,1.92E-03,1.51E-01,0.06,6.31,1.20E-02,4.14E-01,1.28,0.07,2.71E-04,2.89E-02,1,1,2,1,0
SLC39A11,0.03,13.42,8.14E-02,4.71E-01,0.11,14.57,2.82E-04,8.50E-02,1.15,0.07,2.70E-04,2.89E-02,1,1,2,0,0
FAM86B1,0.07,4.48,6.38E-03,2.09E-01,0.08,4.27,3.66E-03,2.79E-01,0.21,0.07,2.74E-04,2.89E-02,1,1,2,0,0
RASD1,0.06,9.93,8.27E-03,2.30E-01,0.08,9.85,2.90E-03,2.54E-01,0.08,0.07,2.80E-04,2.89E-02,1,1,2,1,0
MTIF3,0.06,3.39,1.10E-02,2.50E-01,0.08,2.75,2.17E-03,2.40E-01,0.64,0.07,2.79E-04,2.89E-02,1,1,2,0,0
MAP3K9,0.06,6.87,9.30E-03,2.38E-01,0.08,9.16,2.61E-03,2.43E-01,2.28,0.07,2.83E-04,2.89E-02,1,1,2,0,0
RPS6KC1,0.06,5.60,1.14E-02,2.52E-01,0.08,6.40,2.12E-03,2.40E-01,0.80,0.07,2.82E-04,2.89E-02,1,1,2,1,0
DICER1,0.10,3.01,6.14E-04,1.02E-01,0.04,1.08,3.87E-02,5.99E-01,1.93,0.07,2.78E-04,2.89E-02,1,1,2,1,0
FAM76A,0.10,3.44,4.42E-04,8.76E-02,0.04,3.10,5.53E-02,6.43E-01,0.35,0.07,2.85E-04,2.89E-02,1,1,2,0,0
