Gene,BA11.R2,BA11.Peak,BA11.Pval,BA11.qval,BA47.R2,BA47.Peak,BA47.Pval,BA47.qval,Diff.Peak,Avg.R2,Combined.Pval,Combined.qval,BA11.weight,BA47.weight,Both.weight,Age.genes,Sex.genes
PLEKHA3,0.02,5.13,2.92E-01,7.01E-01,0.01,-0.59,6.53E-01,9.71E-01,5.72,0.01,2.92E-01,5.07E-01,1,0,1,0,0
ANXA13,0.02,17.42,1.98E-01,6.24E-01,0.00,11.77,9.61E-01,9.98E-01,5.65,0.01,1.98E-01,4.38E-01,1,0,1,0,0
IL6ST,0.01,0.48,3.98E-01,7.73E-01,0.01,-1.61,4.80E-01,9.39E-01,2.09,0.01,4.00E-01,5.79E-01,1,0,1,1,0
ANGPTL4,0.00,-3.74,7.58E-01,9.27E-01,0.02,-4.54,2.52E-01,8.62E-01,0.80,0.01,2.52E-01,4.79E-01,0,1,1,0,0
UBE2Q2,0.01,0.87,5.50E-01,8.46E-01,0.01,2.12,3.47E-01,9.05E-01,1.25,0.01,3.48E-01,5.46E-01,0,1,1,1,0
ECEL1,0.02,15.44,3.34E-01,7.33E-01,0.01,9.40,5.72E-01,9.57E-01,6.04,0.01,3.35E-01,5.38E-01,1,0,1,0,0
LARGE,0.00,15.45,9.69E-01,9.92E-01,0.02,15.80,1.97E-01,8.30E-01,0.35,0.01,1.97E-01,4.37E-01,0,1,1,1,0
SPTLC2,0.01,1.35,4.80E-01,8.14E-01,0.01,-4.66,3.98E-01,9.16E-01,6.01,0.01,4.00E-01,5.79E-01,0,1,1,0,0
MARCKSL1,0.00,12.79,8.09E-01,9.43E-01,0.02,7.97,2.36E-01,8.51E-01,4.82,0.01,2.36E-01,4.66E-01,0,1,1,0,0
PPP3R2,0.00,0.19,8.56E-01,9.57E-01,0.02,1.05,2.23E-01,8.46E-01,0.86,0.01,2.23E-01,4.57E-01,0,1,1,0,0
THUMPD1,0.01,2.49,5.08E-01,8.28E-01,0.01,15.00,3.76E-01,9.12E-01,11.49,0.01,3.78E-01,5.64E-01,0,1,1,0,0
ISG15,0.01,3.42,4.18E-01,7.84E-01,0.01,0.88,4.57E-01,9.34E-01,2.54,0.01,4.22E-01,5.93E-01,1,0,1,0,0
TBC1D26,0.01,-3.96,6.91E-01,9.03E-01,0.02,16.75,2.77E-01,8.74E-01,3.30,0.01,2.77E-01,4.95E-01,0,1,1,0,0
CLPTM1L,0.01,-4.19,5.08E-01,8.28E-01,0.01,15.68,3.77E-01,9.12E-01,4.14,0.01,3.79E-01,5.65E-01,0,1,1,0,0
TMEM221,0.01,15.00,4.31E-01,7.90E-01,0.01,12.54,4.44E-01,9.30E-01,2.46,0.01,4.35E-01,6.02E-01,1,0,1,0,0
ZFP62,0.02,8.48,3.14E-01,7.18E-01,0.01,-3.04,6.10E-01,9.63E-01,11.52,0.01,3.14E-01,5.23E-01,1,0,1,0,0
LNPEP,0.02,4.22,2.19E-01,6.42E-01,0.00,-3.02,8.76E-01,9.93E-01,7.24,0.01,2.19E-01,4.53E-01,1,0,1,0,0
CEACAM21,0.01,14.54,4.39E-01,7.93E-01,0.01,-5.89,4.36E-01,9.28E-01,3.57,0.01,4.40E-01,6.04E-01,0,1,1,0,0
HSD17B6,0.01,-1.24,5.37E-01,8.42E-01,0.01,-2.87,3.57E-01,9.08E-01,1.63,0.01,3.57E-01,5.51E-01,0,1,1,0,0
SMG5,0.01,4.85,4.39E-01,7.93E-01,0.01,9.24,4.37E-01,9.29E-01,4.39,0.01,4.41E-01,6.05E-01,0,1,1,0,0
