,full_df_name,model,best_parameters,MSE,MAE,MAPE,RMSE,SMAPE
1,Full Overall_80:20_MinMax_PCA_90,Linear Regressor,{},0.04180204996434749,0.1469308526689246,1.177135830069593,0.2044554962928302,33.70085857368343
2,Full Overall_80:20_MinMax_PCA_95,Linear Regressor,{},0.0459376292302027,0.1620516360251901,1.231588138292955,0.2143306539676551,35.0134136225083
3,Full Overall_80:20_MinMax_PCA_90,Support Vector Regressor,"{'kernel': 'rbf', 'gamma': 0.001, 'C': 1}",0.0603163889730016,0.1712381511337945,2.218245023618243,0.2455939514177857,35.16020403763988
4,Full Overall_80:20_MinMax_PCA_95,Support Vector Regressor,"{'kernel': 'rbf', 'gamma': 0.001, 'C': 1}",0.0602063548812864,0.1711295241069905,2.211601360292874,0.2453698328672178,35.14670369628963
5,Full Overall_80:20_MinMax_PCA_90,Decision Tree Regressor,"{'splitter': 'best', 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_impurity_decrease': 0.1, 'max_leaf_nodes': 90, 'max_features': None, 'max_depth': 26, 'criterion': 'mae', 'ccp_alpha': 0.0}",0.0712198751713893,0.2068267582930493,2.329464424310182,0.2668705213608078,40.83220541177965
6,Full Overall_80:20_MinMax_PCA_95,Decision Tree Regressor,"{'splitter': 'best', 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_impurity_decrease': 0.1, 'max_leaf_nodes': 90, 'max_features': None, 'max_depth': 26, 'criterion': 'mae', 'ccp_alpha': 0.0}",0.0712198751713893,0.2068267582930493,2.329464424310182,0.2668705213608078,40.83220541177965
7,Full Overall_80:20_MinMax_PCA_90,K-Neighbors Regressor,"{'weights': 'distance', 'n_neighbors': 8}",0.05351201399318661,0.1603591172174074,2.056346622611793,0.2313266391775634,34.30586521144373
8,Full Overall_80:20_MinMax_PCA_95,K-Neighbors Regressor,"{'weights': 'distance', 'n_neighbors': 6}",0.06126682506077301,0.175803843881966,2.295562922307572,0.2475213628371762,36.33778255422235
9,Full Overall_80:20_MinMax_PCA_90,Stochastic Gradient Descent Regressor,"{'tol': 0.0001, 'power_t': 0.25, 'penalty': 'elasticnet', 'max_iter': 3000, 'loss': 'squared_loss', 'learning_rate': 'optimal', 'l1_ratio': 0, 'fit_intercept': True, 'eta0': 0.001, 'alpha': 1}",0.0612474686449492,0.1819889321778206,2.034526318202889,0.2474822592529599,37.42157423502756
10,Full Overall_80:20_MinMax_PCA_95,Stochastic Gradient Descent Regressor,"{'tol': 0.0001, 'power_t': 0.25, 'penalty': 'elasticnet', 'max_iter': 3000, 'loss': 'squared_loss', 'learning_rate': 'optimal', 'l1_ratio': 0, 'fit_intercept': True, 'eta0': 0.001, 'alpha': 1}",0.0611483519436448,0.1818674713061344,2.027350861358875,0.2472819280571162,37.4135760976281
11,Full Overall_80:20_MinMax_PCA_90,Voting Regressor,"{'rf__n_estimators': 100, 'gb__n_estimators': 10}",0.0591407029179964,0.1805019292490771,1.799635058123876,0.2431886159300975,37.93957517468784
12,Full Overall_80:20_MinMax_PCA_95,Voting Regressor,"{'rf__n_estimators': 100, 'gb__n_estimators': 10}",0.059565469020439,0.1805324785932226,1.678748839818432,0.2440603798662106,38.32625463097913
13,Full Overall_80:20_MinMax_PCA_90,Stacking Regressor,{'final_estimator': LinearSVR(random_state=42)},0.095591079367118,0.2561295931971524,2.528362634367568,0.3091780706439544,49.03954242933182
14,Full Overall_80:20_MinMax_PCA_95,Stacking Regressor,{'final_estimator': LinearSVR(random_state=42)},0.1083048061329799,0.2833875082158002,2.602777537563008,0.3290969555206793,54.11348636495285
15,Full Overall_80:20_MinMax_PCA_90,Gradient Boosting Regressor,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'max_leaf_nodes': 20, 'max_features': 'sqrt', 'max_depth': 30, 'learning_rate': 0.5}",0.0677404982726774,0.1995294012926961,2.152530699405426,0.2602700487429881,40.85399081119471
16,Full Overall_80:20_MinMax_PCA_95,Gradient Boosting Regressor,"{'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'max_leaf_nodes': 15, 'max_features': 'log2', 'max_depth': 20, 'learning_rate': 0.05}",0.0593590805822155,0.1821934412921256,2.036733033302019,0.2436371904743107,37.43120121022242
17,Full Overall_80:20_MinMax_PCA_90,Random Forest Regressor,"{'n_estimators': 10, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 30}",0.0650466032713795,0.1834371808861394,2.196664734607432,0.2550423558379658,37.30681700611455
18,Full Overall_80:20_MinMax_PCA_95,Random Forest Regressor,"{'n_estimators': 10, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 30}",0.0608852484099143,0.1727174717560086,1.864039276726768,0.2467493635451049,35.78492709850239
19,Full Overall_80:20_MinMax_PCA_90,AdaBoostRegressor,"{'n_estimators': 50, 'loss': 'square', 'learning_rate': 0.1}",0.0653985386297218,0.1965741797000227,2.251843281357571,0.2557313798299337,39.33513958159372
20,Full Overall_80:20_MinMax_PCA_95,AdaBoostRegressor,"{'n_estimators': 50, 'loss': 'linear', 'learning_rate': 0.01}",0.0561177063765019,0.1720498507860716,2.083226875898517,0.2368917608877564,35.7697284682863
21,Full Overall_80:20_MinMax_PCA_90,BaggingRegressor,"{'n_estimators': 50, 'max_samples': 0.7000000000000001, 'max_features': 0.9}",0.04654454528388457,0.1679406329968111,2.014857446824357,0.2157418487078586,36.56688290115282
22,Full Overall_80:20_MinMax_PCA_95,BaggingRegressor,"{'n_estimators': 130, 'max_samples': 0.8, 'max_features': 0.6}",0.04915763942345997,0.1713183420646725,2.035446242743399,0.2217152214518885,36.38510270122443
23,Full Overall_80:20_MinMax_PCA_90,ExtraTreesRegressor,"{'n_estimators': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': None}",0.0660079421516268,0.1949872306701703,2.073933525417561,0.2569201084999514,40.22279977023427
24,Full Overall_80:20_MinMax_PCA_95,ExtraTreesRegressor,"{'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 10}",0.0629909510505334,0.1869945769254654,2.230277927066703,0.2509799813740797,37.78910197680718
25,Full Overall_80:20_MinMax_PCA_90,XGBoost Regressor,"{'subsample': 1.0, 'reg_lambda': 0, 'reg_alpha': 1.0, 'n_estimators': 700, 'min_child_weight': 1, 'max_depth': 9, 'learning_rate': 0.01, 'gamma': 0.3, 'colsample_bytree': 0.8}",0.0646041794872959,0.1952577963401393,2.018152096948657,0.2541735223962086,39.81608497727341
26,Full Overall_80:20_MinMax_PCA_95,XGBoost Regressor,"{'subsample': 1.0, 'reg_lambda': 0, 'reg_alpha': 1.0, 'n_estimators': 700, 'min_child_weight': 1, 'max_depth': 9, 'learning_rate': 0.01, 'gamma': 0.3, 'colsample_bytree': 0.8}",0.0630463310161315,0.1927920737792568,2.005759232979623,0.251090284591283,39.45856422650994
27,Full Overall_80:20_MinMax_PCA_90,Multilayer Perceptron,"{'module__num_units': 20, 'module__activation_func': Tanh(), 'lr': 0.1}",0.09792024,0.24050073,2.4795005,0.3129220972889422,44.58551406860352
28,Full Overall_80:20_MinMax_PCA_95,Multilayer Perceptron,"{'module__num_units': 20, 'module__activation_func': Tanh(), 'lr': 0.1}",0.09748381,0.23884976,2.5188615,0.3122239681896382,44.37091946601868
