,full_df_name,model,best_parameters,MSE,MAE,MAPE,RMSE,SMAPE
1074,BA11 Overall_60:40_MinMax_KPCA_95,XGBoost Regressor,"{'subsample': 0.9, 'reg_lambda': 1.0, 'reg_alpha': 0, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 0.2, 'colsample_bytree': 1.0}",0.03205738904155053,0.1466843890235193,0.5481562332824652,0.1790457735930969,29.42182490879605
1075,BA11 Overall_60:40_MinMax_KPCA_90,Multilayer Perceptron,"{'module__num_units': 20, 'module__activation_func': Tanh(), 'lr': 0.1}",0.062601104,0.19168356,0.7456109,0.2502021270467144,39.44188058376312
1076,BA11 Overall_60:40_MinMax_KPCA_95,Multilayer Perceptron,"{'module__num_units': 20, 'module__activation_func': Tanh(), 'lr': 0.1}",0.06670014,0.18775411,0.7679188,0.2582636988654148,44.09582912921906
1077,BA11 Overall_60:40_MinMax_KPCA_90,Long Short-Term Memory Network,"{'module__num_layers': 1, 'module__hidden_size': 25, 'max_epochs': 20, 'lr': 0.1, 'batch_size': 16}",0.03710791,0.15244296,0.38279483,0.1926341375792793,34.444859623909
1078,BA11 Overall_60:40_MinMax_KPCA_95,Long Short-Term Memory Network,"{'module__num_layers': 1, 'module__hidden_size': 25, 'max_epochs': 20, 'lr': 0.1, 'batch_size': 16}",0.048673768,0.18073548,0.38810676,0.2206213217177415,40.72911143302917
1079,BA11 Overall_60:40_MinMax_KPCA_90,Convolutional neural network,{},1.2946347,0.7734122,1.7342011,1.137820152669776,90.30566811561584
1080,BA11 Overall_60:40_MinMax_KPCA_95,Convolutional neural network,{},26.437696,4.5404615,11.605601,5.141760054388884,185.9563350677491
1081,BA11 Overall_80:20_Log_KPCA_90,Linear Regressor,{},0.4203045185773763,0.3015176564988622,0.5401393397574145,0.6483089684536042,15.15559508346164
1082,BA11 Overall_80:20_Log_KPCA_95,Linear Regressor,{},0.4203267594318844,0.3015265789629142,0.5401578127346061,0.6483261212012704,15.15588837815034
1083,BA11 Overall_80:20_Log_KPCA_90,Support Vector Regressor,"{'kernel': 'linear', 'gamma': 1, 'C': 100}",0.415641130308524,0.2983657212478112,0.5355576677990804,0.6447023579207105,15.02077241197361
1084,BA11 Overall_80:20_Log_KPCA_95,Support Vector Regressor,"{'kernel': 'rbf', 'gamma': 0.01, 'C': 10}",0.428487015217137,0.302900435190207,0.5411881420786814,0.654589195768718,15.18695247906423
1085,BA11 Overall_80:20_Log_KPCA_90,Decision Tree Regressor,"{'splitter': 'best', 'min_samples_split': 10, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.01, 'max_leaf_nodes': 20, 'max_features': None, 'max_depth': 14, 'criterion': 'friedman_mse', 'ccp_alpha': 0.0}",0.454982974207241,0.3402861034982496,0.5659727201450583,0.6745242576862903,16.59463291098486
1086,BA11 Overall_80:20_Log_KPCA_95,Decision Tree Regressor,"{'splitter': 'best', 'min_samples_split': 10, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.01, 'max_leaf_nodes': 20, 'max_features': None, 'max_depth': 14, 'criterion': 'friedman_mse', 'ccp_alpha': 0.0}",0.454982974207241,0.3402861034982496,0.5659727201450583,0.6745242576862903,16.59463291098486
1087,BA11 Overall_80:20_Log_KPCA_90,K-Neighbors Regressor,"{'weights': 'uniform', 'n_neighbors': 2}",0.4226798964386634,0.2984370400462279,0.5401299503728106,0.6501383671486121,15.12759824145639
1088,BA11 Overall_80:20_Log_KPCA_95,K-Neighbors Regressor,"{'weights': 'uniform', 'n_neighbors': 2}",0.4275391756045021,0.2995733690331935,0.5419103457277143,0.6538647991783181,15.15248803248205
1089,BA11 Overall_80:20_Log_KPCA_90,Stochastic Gradient Descent Regressor,"{'tol': 1e-05, 'power_t': 0.5, 'penalty': 'l1', 'max_iter': 3000, 'loss': 'squared_epsilon_insensitive', 'learning_rate': 'adaptive', 'l1_ratio': 1, 'fit_intercept': True, 'eta0': 0.1, 'alpha': 0.01}",0.4077921209794026,0.3010391203722726,0.5285746245842932,0.6385860325589674,15.17326049322142
