TOD,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
0.0171508319673862,-0.7994715921199499,-0.11960325736050896,-0.2890560956263737,-0.08975050665808403,-0.0760029742777694,0.06970392345507731,0.03219535948328023,0.05916997651713903,-0.006764913107240545,0.10077134518209499,-0.030642806227628033,0.09384661152382913,0.105376955553905,-0.10521273279843271,0.06632646559941689,0.04088694013181066,-0.039586756698161994,-0.047654824044618425
0.0215125728042562,-0.8353702585677173,-0.05549577116303,0.02467711788677262,0.078605320602826,0.0632623526346118,0.08042636903643864,-0.020715831211322654,0.04183355688896223,-0.07583359968051633,0.11632055501127868,0.005840495256580213,0.0629639593452249,0.10819168189077688,-0.12168462725695846,0.0422274134575952,0.04466555750305567,0.004781389319760413,-0.05588980269801892
0.0233562126500812,0.1896458153113208,-0.34604193676375733,-0.30170923281218676,0.02476935915056831,0.053034160950402115,0.04261971938969714,-0.02575735803415116,0.0489080672273774,-0.05456158081385675,0.08443446274137822,0.020430287411682208,0.07620189471533478,0.06209224366040758,-0.07630054818264528,0.047956710092798026,0.06451266597145454,0.001864782584156979,-0.08235319212311956
0.0455616641763256,0.18500262002128884,-0.35081909449056004,-0.25463630333234416,0.055298757659802224,0.13853043361390713,0.009341584447782766,-0.04646872285238471,0.07412174734212497,-0.05732846777487932,0.0794928408708889,0.027526133117824744,0.06273014338504285,0.011321420140381198,-0.06677938650074361,0.07081431626986934,0.044241687479146294,0.024957249290328783,-0.054154391647072996
0.0668858753704981,0.16329766025618478,-0.2687080156928777,-0.017684598688616705,0.19072568191388053,0.16987573408025747,-0.019585910267976302,-0.0842037122640209,0.09006866037666451,-0.10133558383281957,0.10594195171646714,0.08940919872047692,0.06258238269677213,-0.00013627402593782004,-0.04824280889042925,0.045556540150435074,0.015556376900198808,0.044737121030433445,-0.07064316007402993
0.0901023109950052,-0.7949969730133182,-0.3934712002141232,-0.44570544742111684,-0.018423425745165138,0.1340341940952979,-0.026918571935653456,-0.0100393567464586,0.06931525552085945,-0.05644632364961067,0.08553622135279969,0.06824999351980413,0.07641770352541535,-0.026193374822254277,0.029380405787157896,-0.0025643256189941833,-0.03446254224486225,0.048491281066447046,-0.047682959451914926
0.108445839560347,0.17083515956680576,-0.18375054468977695,-0.05431922422633162,0.19947181965703797,0.23097571894548125,0.003556067701263106,-0.13566273866247264,0.09162721069078031,-0.09764303012930456,0.06195795534832514,0.07982852048110362,0.05280615037723586,-0.04601204674182112,0.014463965669117089,-0.02449886324521074,-0.018770186263179403,0.05547678805801176,-0.028837808189646447
0.112012722518823,0.1645892194846829,-0.04030757764173234,-0.002338483910103963,0.42539677256391684,0.17018223961539933,0.10302370400337575,-0.08131071622925039,0.04838527596676051,-0.11834271721706031,0.011665313586972242,0.049158108200617404,0.08038672110064737,-0.058338605223303655,0.06929728110882102,0.061087929344500316,-0.031792885523112505,0.08299674970179179,-0.023650236765201206
0.1357168743468,0.20217729181990912,-0.2529058541306431,-0.48238121206621326,0.3471058869732393,0.06274590788701073,0.1043281137244704,0.049019097330645814,-0.009483936923947285,-0.0012121561731548533,0.0074349774702265085,0.013934907414616062,0.03284498613886708,-0.02759990266093705,0.09569512006695084,0.018582375664077215,-0.04338983124335983,0.04711109895465126,-0.007196439979491019
0.136877038960935,0.19341889919812616,-0.024532175614594743,-0.3561000438144447,0.42625975034140395,0.1564935096595429,0.13564304592949544,0.025941854091342514,0.035943857280664876,0.037319413608135794,-0.04731296549804456,-0.020044052508740442,0.036149524564813254,-0.023707819605421763,0.09171704997555946,0.036034751401755945,-0.004071227268365157,0.07529964501095195,-0.008690715938309971
