TOD,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17
0.0173694865991158,-0.5218801627381886,-0.7877357695415701,-0.008822232028462036,-0.44316832084226265,-0.170071530839925,0.05601666090284174,-0.1515988561755173,-0.13493112215967362,0.10295594250700973,-0.07771792137911604,-0.07771939882211358,0.1678132344308738,-0.030170021427723365,0.17202974048972072,-0.011384859331877824,-0.14712630124281825,0.11110859476653129
0.0217868349329398,-0.5569564483271346,-0.7913876839610781,-0.023650526653111188,-0.35502459299613265,0.18958646180265065,0.2089997669878181,-0.11295337368433407,-0.03015246216583313,0.09655198888529448,-0.06693458187211711,-0.11100269440400588,0.1329937451185306,0.02279309966812409,0.243208530194733,0.020619788110615756,-0.10642518219281864,0.0941937540253818
0.0236539792007251,-0.23490234268815638,-0.014727995096030956,0.6376550387448902,-0.6223520689902432,-0.09056336536415213,0.10245353869394208,-0.13938307776601383,-0.06974131234288317,0.11271397014172069,-0.11980829356166581,-0.12903342295012452,0.15263532741305694,-0.008674637849192467,0.21418308662569557,0.04537004111947185,-0.037495953676777286,0.09401827645864712
0.0912510183968422,-0.5234071640201533,-0.9379567421590607,0.4613324134630971,-0.5154006164514469,-0.10096294577367311,-0.10151885013902066,0.01304946870196009,-0.0007743123016489901,0.09732839545879426,-0.20645108724895017,-0.2314544712124577,0.1020629587699674,0.05853333393010237,0.01895457113216687,-0.05992177264990847,-0.02762623336449691,-0.05236810239318681
0.109828407190697,-0.1856858498777532,-0.08694097200634532,0.8013775699728485,-0.3129552944524001,0.2935201196081862,0.09921201745714604,-0.05820654306159793,-0.0016344396106392134,0.08332395766738228,-0.13469005284854324,-0.19345310322295814,0.07042895920109651,0.057905048407650976,0.11830098423252486,0.025177689021956346,-0.008544476945561624,-0.05070400492487488
0.113440764064444,-0.15603302233783817,-0.18353285714648718,0.9638945111736446,-0.07974683700581008,0.36958624287926395,0.06104776157156646,-0.1023775957051139,-0.04107485468962401,0.017079127161583437,-0.044715516889715215,-0.1403354050528602,-0.12435851126175489,-0.016093701529196983,0.027906257073219434,0.11329884363851668,0.04396396294927843,-0.08703017099926602
0.137447118292763,0.0836789416496507,-0.2472687426433342,1.0816056447179634,-0.11912645256478713,-0.04126449680135147,-0.2844683646237941,0.09032996468011327,-0.07014378646483481,0.0571988131028365,-0.045059185735449404,-0.08811463845367686,-0.09461523107472997,0.0049517611217625565,-0.08947299371072294,0.050360387015206697,-0.023413552781535875,-0.08218433016603295
0.175701572519407,0.26757054662786794,-0.24857021367567855,0.9427655551002332,0.17264800376287526,0.20812205545049145,-0.19285895615948792,0.12810452419883095,-0.09505592164247535,0.07106852950580884,0.021661614676062535,-0.09291930076821014,-0.17815601673754972,0.02111284326971153,-0.053272360666124674,0.06195547038282381,0.0014837927952182101,-0.0482610240285047
0.188459931666573,0.4086597767254235,-0.30986190367922123,0.9981005710307181,0.3305245418137843,0.07076688391246846,-0.17729082084461698,0.1137868735647961,-0.23785117929469926,0.1472079688969825,0.15034450537286395,-0.04768199730515165,-0.1293287827536313,-0.021555249412459898,-0.0420943290093854,-0.0349505172378702,0.014637757110954133,0.011429105362840659
0.211014437875058,0.2492421644624778,-1.1166958381837901,0.31154197465833827,0.5176058897724459,0.24047984283236173,-0.06759161816353122,0.12345682169711844,-0.172465619463486,0.0983550324251566,0.16879413960168327,0.02238655207052253,-0.15119077016746346,-0.0024896101634557634,-0.06258103340461944,-0.06591985050506613,-0.03262091841561432,-0.01473560155952697
